Code,Place_Name,Category,Sort,OrderName,FamilyName,Taxon,TSN,TaxonRecordStatus,ScientificName,CommonNames,Synonyms,Occurrence,Code ,Latitude,Longitude
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Canidae,93354,180610.0,Active,Urocyon littoralis,Channel Islands Gray Fox,"Urocyon littoralis littoralis, Urocyon littoralis santacruzae, Urocyon littoralis santarosae",Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Mephitidae,154133,-501824.0,Inactive,Spilogale gracilis amphiala,Spotted Skunk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Mustelidae,107235,202390.0,Active,Enhydra lutris nereis,Sea Otter,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Otariidae,93382,180636.0,Active,Arctocephalus townsendi,Guadalupe Fur Seal,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Otariidae,93372,180627.0,Active,Callorhinus ursinus,Northern Fur Seal,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Otariidae,93370,180625.0,Active,Eumetopias jubatus,"Northern Sea Lion, Stellar Sea Lion",,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Otariidae,93366,180621.0,Active,Zalophus californianus,California Sea Lion,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Phocidae,95017,180672.0,Active,Mirounga angustirostris,Northern Elephant Seal,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Carnivora,Phocidae,93396,180649.0,Active,Phoca vitulina,Harbor Seal,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92600,180524.0,Active,Balaenoptera acutorostrata,Minke Whale,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92602,180526.0,Active,Balaenoptera borealis,Rorqual (Sei Whale),,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92604,180528.0,Active,Balaenoptera musculus,Blue Whale,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92603,180527.0,Active,Balaenoptera physalus,Finback Whale,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Mammal,1,Cetacea,Balaenopteridae,92607,180530.0,Active,Megaptera novaeangliae,Humback Whale,,Present,CHIS,33.998028000000005,-119.772949
