Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
VIIS,Virgin Islands National Park,Mammal,1,Artiodactyla,Bovidae,95065,180715,Active,Capra hircus,feral goat,,Present
VIIS,Virgin Islands National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
VIIS,Virgin Islands National Park,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,feral hog,,Present
VIIS,Virgin Islands National Park,Mammal,1,Carnivora,Canidae,86124,183815,Active,Canis familiaris,feral dog,,Present
VIIS,Virgin Islands National Park,Mammal,1,Carnivora,Felidae,86104,183798,Active,Felis catus,feral cat,,Present
VIIS,Virgin Islands National Park,Mammal,1,Carnivora,Herpestidae,264257,552467,Active,Herpestes javanicus,Indian mongoose,Herpestes auropunctatus,Present
VIIS,Virgin Islands National Park,Mammal,1,Chiroptera,Molossidae,89605,180083,Active,Molossus molossus,"Pallas' Free-tailed Bat, Pallas's Mastiff Bat",,Present
VIIS,Virgin Islands National Park,Mammal,1,Chiroptera,Noctilionidae,88773,180047,Active,Noctilio leporinus,greater bulldog bat,,Present
VIIS,Virgin Islands National Park,Mammal,1,Chiroptera,Phyllostomidae,89577,180058,Active,Artibeus jamaicensis,Jamaican Fruit-eating Bat,,Present
VIIS,Virgin Islands National Park,Mammal,1,Chiroptera,Phyllostomidae,89580,180060,Active,Brachyphylla cavernarum,Antillean fruit-eating bat,,Present
VIIS,Virgin Islands National Park,Mammal,1,Chiroptera,Phyllostomidae,89597,180076,Active,Stenoderma rufum,red fruit bat,,Present
VIIS,Virgin Islands National Park,Mammal,1,Chiroptera,Vespertilionidae,88741,180018,Active,Lasiurus ega,Southern Yellow Bat,,Probably Present
VIIS,Virgin Islands National Park,Mammal,1,Perissodactyla,Equidae,95037,180690,Active,Equus asinus,feral donkey,,Present
VIIS,Virgin Islands National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,house mouse,,Present
VIIS,Virgin Islands National Park,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,Norway rat,,Present
VIIS,Virgin Islands National Park,Mammal,1,Rodentia,Muridae,91758,180362,Active,Rattus rattus,black rat,,Present
VIIS,Virgin Islands National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Present
VIIS,Virgin Islands National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Present
VIIS,Virgin Islands National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Present
VIIS,Virgin Islands National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,,Present
VIIS,Virgin Islands National Park,Bird,2,Anseriformes,Anatidae,77782,175074,Active,Anas acuta,Northern Pintail,,Present
VIIS,Virgin Islands National Park,Bird,2,Anseriformes,Anatidae,77804,175094,Active,Anas americana,American Wigeon,,Present
VIIS,Virgin Islands National Park,Bird,2,Anseriformes,Anatidae,77786,175078,Active,Anas bahamensis,White-cheeked Pintail,,Present
