Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
YOSE,Yosemite National Park,Mammal,1,Artiodactyla,Bovidae,891494,898931,Active,Ovis canadensis sierrae,Sierra Nevada bighorn sheep,,Present
YOSE,Yosemite National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer","Odocoileus hemionus californicus, Dama hemionus californica",Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,mountain coyote,Canis latrans lestes,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Canidae,634054,726953,Active,Vulpes vulpes necator,Sierra Nevada red fox,Vulpes vulpes,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Lynx rufus californicus,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,Mephitis mephitis occidentalis,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,spotted skunk,"Spilogale gracilis, Spilogale putorius gracilis",Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,river otter,,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,"American Marten, marten","Martes americana sierrae, Martes caurina sierrae",Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,Mustela erminea muricus,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,"Mustela frenata arizonensis, Mustela frenata nevadensis",Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,American mink,Mustela vison,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,950237,,Inactive,Pekania pennanti,Fisher,Martes pennanti,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,badger,,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Present
YOSE,Yosemite National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,black bear,,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,western mastiff bat,Eumops perotis californicus,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Mexican free-tailed bat,Tadarida brasiliensis mexicana,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid bat,Antrozous pallidus pacificus,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,Plecotus townsendii,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,Eptesicus fuscus bernardinus,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,"Pinto Bat, Spotted Bat",,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,260642,552512,Active,Lasiurus blossevillii,western red bat,Lasiurus borealis,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",Lasiurus cinereus cinereus,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California myotis,Myotis californicus californicus,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,small-footed myotis,Myotis leibii,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",Myotis evotis evotis,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,little brown myotis,,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,fringed myotis,Myotis thysanodes thysanodes,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,Myotis yumanensis sociabilis,Present
YOSE,Yosemite National Park,Mammal,1,Chiroptera,Vespertilionidae,942700,947298,Active,Parastrellus hesperus,canyon bat,"Pipistrellus hesperus hesperus, Pipistrellus hesperus",Present
YOSE,Yosemite National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
YOSE,Yosemite National Park,Mammal,1,Lagomorpha,Leporidae,902240,900972,Active,Lepus americanus tahoensis,"Snowshoe Hare, Varying Hare",Lepus americanus,Present
YOSE,Yosemite National Park,Mammal,1,Lagomorpha,Leporidae,630613,727914,Active,Lepus townsendii townsendii,western white-tailed jackrabbit,Lepus townsendii,Present
YOSE,Yosemite National Park,Mammal,1,Lagomorpha,Leporidae,89650,180123,Active,Sylvilagus bachmani,"Brush Rabbit, Riparian Brush Rabbit",Sylvilagus bachmani mariposae,Present
YOSE,Yosemite National Park,Mammal,1,Lagomorpha,Ochotonidae,89634,180109,Active,Ochotona princeps,pika,"Ochotona schisticeps muiri, Ochotona princeps muiri",Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Aplodontiidae,115252,203471,Active,Aplodontia rufa californica,Sierra Nevada mountain beaver,Aplodontia rufa,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,beaver,,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,91695,180305,Active,Microtus californicus,California meadow mouse,Microtus californicus mariposae,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,long-tailed vole,Microtus longicaudus sierrae,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,91701,180310,Active,Microtus montanus,Montane Vole,"Microtus montanus yosemite, Microtus montanus montanus",Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,bushy-tailed woodrat,Neotoma cinerea acraia,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,731224,-9756957,Active,Neotoma macrotis streatori,big-eared woodrat,Neotoma macrotis,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,"Brush Deermouse, Brush Mouse",Peromyscus boylii boylii,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,90751,180283,Active,Peromyscus californicus,California mouse,,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Sonoran deer mouse,"Peromyscus maniculatus sonoriensis, Peromyscus maniculatus gambelii",Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,pinyon mouse,"Peromyscus truei gilberti, Peromyscus truei truei",Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,91754,180359,Active,Phenacomys intermedius,"Heather Vole, Western Heather Vole",Phenacomys intermedius celsus,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,Reithrodontomys megalotis longicaudus,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Dipodidae,91785,180387,Active,Zapus princeps,Western Jumping Mouse,"Zapus princeps alleni, Zapus princeps pacificus",Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,porcupine,Erethizon dorsatum epixanthum,Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta's Pocket Gopher,"Thomomys bottae awahnee, Thomomys bottae mewa",Present
YOSE,Yosemite National Park,Mammal,1,Rodentia,Geomyidae,90689,180227,Active,Thomomys monticola,Mountain Pocket Gopher,Thomomys monticola monticola,Present
