Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
SHEN,Shenandoah National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,White-tailed Deer,Odocoileus virginianus virginianus,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Gray Fox,,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,bobcat,"Felis rufus rufus, Lynx rufus rufus, Felis rufus",Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,Mephitis mephitis nigra,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,Spotted Skunk,,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,River Otter,Lutra canadensis,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Mustelidae,93298,180560,Active,Martes pennanti,Fisher,,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Mustelidae,93291,180554,Active,Mustela nivalis,Least Weasel,,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,"American Mink, mink",Mustela vison,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Raccoon,,Present
SHEN,Shenandoah National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,Black Bear,Ursus americanus americanus,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,Red Bat,,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,Lasiurus cinereus cinereus,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,Small-footed Myotis,,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,Little Brown Bat,,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,88722,180000,Active,Myotis septentrionalis,Northern Long-eared Bat,,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,88723,180001,Active,Myotis sodalis,Indiana Bat,,Present
SHEN,Shenandoah National Park,Mammal,1,Chiroptera,Vespertilionidae,695948,-756551,Inactive,Perimyotis subflavus,Tri-colored bat,Pipistrellus subflavus subflavus,Present
SHEN,Shenandoah National Park,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Present
SHEN,Shenandoah National Park,Mammal,1,Lagomorpha,Leporidae,89651,180124,Active,Sylvilagus floridanus,Eastern Cottontail,,Present
SHEN,Shenandoah National Park,Mammal,1,Lagomorpha,Leporidae,260646,552514,Active,Sylvilagus obscurus,Appalachian Cottontail,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,Beaver,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,Southern Red-backed Vole,"Clethrionomys gapperi gapperi, Myodes gapperi",Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,Meadow Vole,Microtus pennsylvanicus pennsylvanicus,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Cricetidae,91705,180314,Active,Microtus pinetorum,Woodland Vole,Microtus pinetorum scalopsoides,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Cricetidae,267655,555661,Active,Neotoma magister,Allegheny woodrat,"Neotoma floridana, Neotoma floridana floridana",Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,Muskrat,Ondatra zibethicus zibethicus,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Cricetidae,90745,180278,Active,Peromyscus leucopus,White-footed Mouse,Peromyscus leucopus noveboracensis,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Deer Mouse,Peromyscus maniculatus nubiterrae,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Cricetidae,91736,180342,Active,Reithrodontomys humulis,Harvest Mouse,,Probably Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Dipodidae,91789,180390,Active,Napaeozapus insignis,Woodland Jumping Mouse,Napaeozapus insignis roanensis,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Dipodidae,91784,180386,Active,Zapus hudsonius,Meadow Jumping Mouse,Zapus hudsonius americanus,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House Mouse,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,Norway Rat,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Muridae,91758,180362,Active,Rattus rattus,Black Rat,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,89702,180170,Active,Glaucomys volans,Southern Flying Squirrel,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,89665,180137,Active,Marmota monax,Woodchuck,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,89707,180175,Active,Sciurus carolinensis,Northern gray squirrel,Sciurus carolinensis pennsylvanicus,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,89704,180172,Active,Sciurus niger,Fox Squirrel,"Sciurus niger niger, Sciurus niger vulpinus, Sciurus niger vicinus",Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,90667,180207,Active,Tamias striatus,Eastern Chipmunk,,Present
SHEN,Shenandoah National Park,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red Squirrel,"Tamiasciurus hudsonicus hudsonicus, Tamiasciurus hudsonicus loquax",Present
